52.66	150.00	-14.89
46.49	150.00	-9.90
35.02	150.00	0.08
24.92	150.00	10.05
20.48	150.00	15.03
4.33	150.00	29.98
-34.82	150.00	44.89
61.91	180.00	-14.88
54.98	180.00	-9.89
42.03	180.00	0.08
30.53	180.00	10.05
25.45	180.00	15.04
8.27	180.00	29.99
-30.82	180.00	44.90
43.26	120.00	-14.89
37.90	120.00	-9.90
28.02	120.00	0.07
19.39	120.00	10.04
15.63	120.00	15.03
0.42	120.00	29.97
-38.90	120.00	44.87
33.65	90.00	-14.90
29.17	90.00	-9.91
21.01	90.00	0.06
13.99	90.00	10.03
10.93	90.00	15.02
-3.45	90.00	29.96
-43.12	90.00	44.85
71.04	210.00	-14.88
63.39	210.00	-9.89
49.03	210.00	0.08
36.21	210.00	10.05
30.51	210.00	15.04
12.24	210.00	30.00
-26.93	210.00	44.91
