101.08	150	-34.77
61.77	150	-29.84
5.20	150	-14.98
-1.74	150	-10.01
-10.29	150	-1.04
-11.40	150	-0.05
-12.55	150	0.95
-24.11	150	9.92
-32.13	150	14.91
100.62	180	-34.79
61.48	180	-29.85
4.50	180	-14.98
-2.77	180	-10.01
-12.42	180	-1.05
-13.68	180	-0.05
-14.98	180	0.95
-27.96	180	9.91
-36.73	180	14.90
101.64	120	-34.76
62.13	120	-29.82
5.82	120	-14.97
-0.74	120	-10.00
-8.17	120	-1.04
-9.12	120	-0.04
-10.11	120	0.95
-20.15	120	9.92
-27.40	120	14.91
102.30	90	-34.75
62.58	90	-29.80
6.35	90	-14.97
0.20	90	-10.00
-6.06	90	-1.04
-6.84	90	-0.04
-7.65	90	0.96
-16.05	90	9.93
-22.51	90	14.92
100.22	210	-34.80
61.23	210	-29.86
3.75	210	-14.99
-3.84	210	-10.01
-14.56	210	-1.05
-15.96	210	-0.05
-17.40	210	0.94
-31.73	210	9.91
-41.23	210	14.90
