40.992	150.0	-14.9294
36.2064	150.0	-9.93925
26.9977	150.0	0.0431007
18.8308	150.0	10.0294
15.3306	150.0	15.023
0.471221	150.0	29.9899
-39.7236	150.0	44.8866
48.2089	180.0	-14.927
42.813	180.0	-9.93679
32.3977	180.0	0.04567
23.0922	180.0	10.0319
19.0931	180.0	15.0255
3.61479	180.0	29.9964
-36.3134	180.0	44.9024
33.656	120.0	-14.9321
29.519	120.0	-9.94205
21.5978	120.0	0.040154
14.6396	120.0	10.0265
11.6573	120.0	15.0201
-2.6852	120.0	29.9807
-43.1873	120.0	44.8678
26.1673	90.0	-14.9353
22.7302	90.0	-9.94548
16.198	90.0	0.0366555
10.5413	90.0	10.0231
8.09693	90.0	15.0167
-5.85231	90.0	29.9672
-46.8377	90.0	44.8451
55.3318	210.0	-14.9248
49.3562	210.0	-9.93459
37.7976	210.0	0.0479624
27.4093	210.0	10.0341
22.928	210.0	15.0278
6.76692	210.0	30.0013
-33.0159	210.0	44.9157
